Kingdom,Phylum,Class,Order,Family,Genus,Sample_name,OBER.Mn.JE1,OBER.Mn.JE2,OBER.Mn.JE3,OBER.Mn.JE4,OBER.Mn.JO1,OBER.Mn.JO2,OBER.Mn.SE1,OBER.Mn.SE2,OBER.Mn.SE5,OBER.Mn.SE6,OBER.Mn.SO1
d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,Jan_B1,0,0.01,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Genus of Nitrosomonadaceae,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.01
d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Family of Flavobacteriales,Genus of Flavobacteriales,Jan_B2,0,0,0,0.01,0,0,0,0,0,0,0
d__Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,Sporichthya,Jan_IB,0,0,0,0,0.01,0,0,0,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Family of Flavobacteriales,Genus of Flavobacteriales,Jan_B1,0,0.01,0,0,0,0,0,0,0,0,0
d__Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.01
d__Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Jan_IB,0,0,0,0,0.01,0,0,0,0,0,0
d__Bacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Jan_IB,0,0,0,0,0.01,0,0,0,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Jan_B1,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Genus of Sphingobacteriaceae,Jan_B1,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Jan_IB,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Hoeflea,Jan_IB,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,Jan_IB,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Genus of Rhodocyclaceae,Jan_IB,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Jan_IB,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Family of Flavobacteriales,Genus of Flavobacteriales,Sept_B1,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Family of Flavobacteriales,Genus of Flavobacteriales,Sept_B2,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria,Sept_IB,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Hoeflea,Sept_IB,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,Sept_IB,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Genus of Rhodocyclaceae,Sept_IB,0,0,0,0,0,0,0,0,0,0,0
