Kingdom,Phylum,Class,Order,Family,Genus,Sample_name,OBER.Mn.JE1,OBER.Mn.JE2,OBER.Mn.JE3,OBER.Mn.JE4,OBER.Mn.JO1,OBER.Mn.JO2,OBER.Mn.SE1,OBER.Mn.SE2,OBER.Mn.SE5,OBER.Mn.SE6,OBER.Mn.SO1
d__Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Candidatus_Ovatusbacter,Jan_IB,0,0,0,0,0.07,0.05,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Candidatus_Accumulibacter,Jan_IB,0,0,0,0,0.07,0.05,0,0,0,0,0
d__Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Sept_B2,0,0,0,0,0,0,0,0,0.05,0.07,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Genus of Steroidobacteraceae,Jan_B1,0.05,0.07,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,Genus of Gallionellaceae,Sept_B1,0,0,0,0,0,0,0.06,0.06,0,0,0
d__Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,Subgroup_17,Subgroup_17,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.12
d__Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Family of Gaiellales,Genus of Gaiellales,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.12
d__Bacteria,NB1-j,NB1-j,NB1-j,NB1-j,NB1-j,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.12
d__Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,Genus of Holosporaceae,Jan_IB,0,0,0,0,0.06,0.06,0,0,0,0,0
d__Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Genus of Microbacteriaceae,Jan_IB,0,0,0,0,0.06,0.05,0,0,0,0,0
